date,alcampo,cepsa,galp,merodio,petroprix,repsol_libertad,repsol_m607_29-8,repsol_m607_28,repsol_m607_28-2,shell
2023-03-11,1.589,1.699,1.669,1.599,1.499,1.679,1.679,1.669,1.679,1.684
2023-03-12,
2023-03-13,1.589,1.699,1.669,1.599,1.499,1.679,1.679,1.679,1.679,1.684
2023-03-14,1.589,1.699,1.669,1.599,1.499,1.679,1.679,1.679,1.679,1.679
2023-03-15,1.589,1.699,1.664,1.599,1.499,1.679,1.679,1.679,1.679,1.674
2023-03-16,1.589,1.699,1.659,1.599,1.499,1.669,1.669,1.679,1.669,1.674
2023-03-17,1.589,1.694,1.659,1.599,1.499,1.669,1.669,1.669,1.669,1.669
2023-03-18,1.589,1.704,1.659,1.599,1.499,1.669,1.679,1.669,1.679,1.669
2023-03-19,1.589,1.689,1.659,1.599,1.499,1.669,1.669,1.669,1.669,1.669
2023-03-20,1.589,1.689,1.659,1.599,1.499,1.669,1.669,1.669,1.669,1.669
2023-03-21,
2023-03-22,1.589,1.689,1.659,1.599,1.499,1.669,1.669,1.669,1.669,1.669
2023-03-23,1.589,1.689,1.654,1.599,1.499,1.669,1.669,1.669,1.669,1.664
2023-03-24,1.589,1.689,1.654,1.599,1.499,1.669,1.669,1.669,1.669,1.659
2023-03-25,1.589,1.699,1.649,1.599,1.499,1.669,1.669,1.669,1.669,1.669
2023-03-26,1.589,1.689,1.659,1.599,1.499,1.679,1.679,1.669,1.679,1.669
